Country,almond,angelica,anise,anise_seed,apple,apple_brandy,apricot,artichoke,asparagus,avocado,bacon,baked_potato,balm,banana,barley,bartlett_pear,basil,bay,bean,beef,beef_broth,beef_liver,beer,beet,bell_pepper,bergamot,berry,bitter_orange,black_bean,black_currant,black_mustard_seed_oil,black_pepper,black_raspberry,black_tea,blackberry,blackberry_brandy,blue_cheese,blueberry,bone_oil,bourbon_whiskey,brandy,brassica,bread,broccoli,brown_rice,brussels_sprout,buckwheat,butter,buttermilk,cabbage,cabernet_sauvignon_wine,cacao,camembert_cheese,cane_molasses,caraway,cardamom,carnation,carob,carrot,cashew,cassava,catfish,cauliflower,caviar,cayenne,celery,celery_oil,cereal,champagne_wine,chayote,cheddar_cheese,cheese,cherry,cherry_brandy,chervil,chicken,chicken_broth,chicken_liver,chickpea,chicory,chinese_cabbage,chive,cider,cilantro,cinnamon,citrus,clam,clove,cocoa,coconut,coconut_oil,cod,coffee,cognac,concord_grape,condiment,coriander,corn,corn_flake,corn_grit,cottage_cheese,crab,cranberry,cream,cream_cheese,cucumber,cumin,cured_pork,currant,date,dill,durian,egg,egg_noodle,elderberry,endive,fennel,fenugreek,feta_cheese,fig,fish,flower,frankfurter,fruit,galanga,garlic,gelatin,gin,ginger,goat_cheese,grape,grape_juice,grapefruit,green_bell_pepper,green_tea,guava,haddock,ham,hazelnut,herring,honey,hop,horseradish,huckleberry,jasmine,jasmine_tea,juniper_berry,kale,katsuobushi,kidney_bean,kiwi,kohlrabi,kumquat,lamb,lard,lavender,leaf,leek,lemon,lemon_juice,lemon_peel,lemongrass,lentil,lettuce,licorice,lilac_flower_oil,lima_bean,lime,lime_juice,lime_peel_oil,lingonberry,litchi,liver,lobster,lovage,macadamia_nut,macaroni,mace,malt,mandarin,mandarin_peel,mango,maple_syrup,marjoram,mate,meat,melon,milk,milk_fat,mint,mozzarella_cheese,mung_bean,munster_cheese,mushroom,mussel,mustard,mutton,nectarine,nut,nutmeg,oat,oatmeal,octopus,okra,olive,olive_oil,onion,orange,orange_flower,orange_juice,orange_peel,oregano,ouzo,oyster,palm,papaya,parmesan_cheese,parsley,parsnip,passion_fruit,pea,peach,peanut,peanut_butter,peanut_oil,pear,pear_brandy,pecan,pepper,peppermint,peppermint_oil,pimenta,pimento,pineapple,pistachio,plum,popcorn,porcini,pork,pork_liver,pork_sausage,port_wine,potato,potato_chip,prawn,prickly_pear,provolone_cheese,pumpkin,quince,radish,raisin,raspberry,red_kidney_bean,red_wine,rhubarb,rice,roasted_almond,roasted_beef,roasted_hazelnut,roasted_meat,roasted_peanut,roasted_pork,roasted_sesame_seed,romano_cheese,root,roquefort_cheese,rose,rosemary,rum,rutabaga,rye_bread,rye_flour,saffron,sage,sake,salmon,salmon_roe,sassafras,sauerkraut,savory,scallion,scallop,seaweed,seed,sesame_oil,sesame_seed,shallot,shellfish,sherry,shiitake,shrimp,smoke,smoked_salmon,smoked_sausage,sour_cherry,sour_milk,soy_sauce,soybean,soybean_oil,spearmint,squash,squid,star_anise,starch,strawberry,sumac,sunflower_oil,sweet_potato,swiss_cheese,tabasco_pepper,tamarind,tangerine,tarragon,tea,tequila,thai_pepper,thyme,tomato,tomato_juice,truffle,tuna,turkey,turmeric,turnip,vanilla,veal,vegetable,vegetable_oil,vinegar,violet,walnut,wasabi,watercress,watermelon,wheat,wheat_bread,whiskey,white_bread,white_wine,whole_grain_wheat_flour,wine,wood,yam,yeast,yogurt,zucchini
American,4,0,0,0,5,0,1,0,0,0,4,0,0,2,0,0,5,1,2,7,0,0,0,0,8,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,7,1,0,0,0,40,3,1,0,0,0,16,0,0,0,0,5,0,0,0,0,0,8,7,2,0,0,0,6,4,2,0,0,9,4,0,0,0,0,2,2,1,11,0,0,0,11,3,0,0,1,0,0,0,1,7,0,0,0,1,2,18,6,2,3,0,0,0,2,0,41,0,0,0,0,1,1,0,1,0,0,0,0,23,3,0,5,0,0,1,0,5,0,0,0,2,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,5,8,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,1,0,1,0,27,0,0,1,0,0,6,0,8,0,0,1,5,3,0,0,0,2,10,29,3,0,3,0,4,0,0,0,0,4,8,0,0,1,1,0,2,0,0,0,5,18,0,0,0,0,4,0,0,0,0,3,0,2,0,6,0,0,0,0,1,0,0,3,1,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,1,0,0,0,0,0,0,5,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,4,0,0,0,0,0,0,4,2,0,0,0,1,1,3,0,0,0,0,0,4,13,0,0,0,1,1,0,20,0,1,18,13,0,6,0,0,0,41,0,0,0,2,1,0,0,0,7,1,1
Canada,3,0,0,0,3,0,0,0,0,0,3,0,0,2,0,0,6,2,1,8,0,0,1,0,10,0,0,0,0,0,0,20,0,0,0,0,0,1,0,0,0,0,7,1,0,0,0,38,2,1,0,0,0,20,0,0,0,0,7,0,0,0,0,0,10,8,3,0,0,0,6,3,2,0,0,10,4,0,0,0,0,1,1,2,10,0,0,0,8,3,0,0,1,0,0,0,3,6,0,0,0,1,1,15,4,2,6,0,0,1,2,0,35,0,0,0,1,2,1,0,1,0,0,0,0,27,1,0,6,0,0,1,0,5,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,7,0,0,0,3,8,0,0,0,1,0,0,0,1,2,0,0,0,0,0,0,0,5,0,0,0,0,0,2,1,0,0,0,26,1,0,2,0,0,6,0,8,0,0,1,3,3,0,0,0,1,12,34,2,0,2,0,5,0,0,0,0,5,8,0,0,2,0,0,2,0,0,0,2,18,0,0,0,0,1,0,0,0,0,3,0,2,0,9,0,0,0,0,0,0,0,4,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,1,0,0,0,1,5,0,0,2,1,1,0,0,0,0,1,0,0,0,0,0,7,1,0,0,0,0,0,6,1,0,0,0,0,3,4,0,0,0,0,0,6,17,0,0,0,0,3,0,17,0,2,18,15,0,4,0,0,0,39,0,0,0,2,2,0,0,0,6,1,1
Caribbeans,1,0,1,0,1,0,0,0,0,2,4,0,0,6,0,0,2,5,5,10,1,0,2,0,21,0,0,0,5,0,0,31,0,0,0,0,0,0,0,0,1,0,4,0,2,0,0,14,0,0,0,0,0,18,0,0,0,0,4,0,0,0,0,0,24,4,4,0,0,0,0,2,0,0,0,20,4,0,0,0,0,0,1,15,15,0,0,0,0,15,0,1,0,0,0,0,6,9,0,0,0,3,1,3,1,0,18,0,0,0,1,0,18,0,0,0,0,4,0,0,3,0,0,0,0,50,0,0,12,0,0,1,1,19,0,0,0,2,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,5,8,0,0,0,1,0,0,0,9,15,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,5,0,10,0,1,1,0,0,2,0,3,0,0,0,9,0,0,0,2,6,26,51,2,0,7,0,14,0,0,0,1,0,2,0,0,6,0,0,0,0,0,0,1,25,0,0,0,2,7,0,0,0,0,7,0,1,0,7,0,0,0,0,2,0,0,3,0,0,5,0,8,0,0,0,0,0,0,0,0,0,0,0,1,13,0,0,0,1,1,1,0,0,0,0,0,10,0,0,1,0,0,2,0,3,0,6,1,0,0,0,0,8,0,0,0,0,0,0,2,2,0,0,2,1,2,2,0,0,0,0,0,13,30,0,0,0,1,5,0,7,0,1,31,18,0,0,0,0,0,14,0,0,0,6,0,0,0,0,2,1,1
China,6,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,6,4,0,0,0,0,10,0,0,0,6,0,0,18,0,1,0,0,0,0,0,0,0,0,1,5,1,0,0,3,0,12,0,0,0,10,0,0,0,0,10,0,0,0,0,0,18,4,3,0,0,0,0,0,0,0,0,29,18,0,0,0,0,0,1,10,3,0,0,0,0,1,0,0,0,0,0,0,1,6,0,0,0,1,0,2,1,0,1,0,0,0,0,0,39,0,0,0,0,1,0,0,4,0,0,0,0,45,1,0,37,0,0,0,0,4,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,2,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,2,0,5,0,0,0,0,0,11,0,2,0,0,8,0,0,0,0,0,0,5,15,0,0,0,0,0,0,9,0,0,0,1,0,0,7,0,2,1,8,0,0,0,20,0,0,0,0,3,0,0,0,0,25,0,3,0,0,0,0,0,0,0,0,0,0,0,0,6,0,18,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,43,0,0,0,32,9,1,0,10,5,11,0,0,0,0,0,70,12,0,0,0,0,3,36,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,1,2,2,0,2,38,29,0,1,0,0,0,21,0,0,0,2,0,10,0,0,3,0,0
East_African,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,9,9,0,0,0,0,9,0,18,0,0,0,9,0,27,0,0,18,0,9,0,0,0,27,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,9,9,0,0,0,0,9,0,0,0,0,0,0,9,0,0,0,9,0,0,0,0,0,27,0,0,0,0,0,9,0,0,0,0,9,0,0,0,0,0,0,0,36,0,0,36,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,63,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,9,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,18,0,0,0,0,18,0,0,0,0,18,9,0,0,0,0,0,27,9,0,0,0,0,0,0,0,9,9,0
Eastern_European,2,0,0,0,2,0,2,0,0,0,8,0,0,0,0,0,1,4,1,15,3,0,0,4,14,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,48,0,13,0,0,0,7,4,0,0,0,8,0,0,0,0,0,2,6,2,0,0,0,2,2,0,0,0,8,4,0,0,0,0,1,1,0,7,0,0,0,4,0,0,0,0,0,0,0,0,3,0,0,4,0,0,26,5,0,1,0,0,0,9,0,52,5,0,0,0,0,0,0,0,0,0,2,0,23,0,0,1,0,0,0,0,7,0,0,0,1,1,0,3,0,1,0,0,0,0,0,0,0,0,0,0,1,7,0,0,0,8,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,4,0,3,0,27,1,0,0,0,0,6,0,2,0,0,0,2,0,0,0,0,0,5,45,2,0,0,0,1,0,0,0,0,0,9,0,0,1,0,0,0,0,0,0,1,19,0,0,0,0,0,0,3,0,0,6,0,6,0,19,0,0,0,0,0,0,0,8,0,0,2,0,5,0,0,0,0,0,1,0,0,0,0,0,0,2,0,1,1,0,1,0,0,0,0,8,0,1,0,0,7,0,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,2,3,0,0,0,0,0,0,18,1,0,0,0,0,0,12,0,2,22,12,0,6,0,0,0,53,0,1,1,1,0,0,0,0,15,0,0
France,3,0,0,0,2,0,1,0,1,0,6,0,0,1,0,0,4,8,1,6,8,0,0,0,5,0,0,0,0,0,0,20,0,0,0,0,1,0,0,0,1,0,15,0,0,0,0,54,0,0,0,0,0,7,0,0,0,0,3,0,0,0,0,0,2,2,1,0,0,0,1,9,0,0,0,12,7,0,0,0,0,2,1,0,5,0,0,0,10,0,0,0,1,0,0,0,1,2,0,0,0,0,0,29,2,1,1,0,0,0,1,0,46,0,0,0,2,1,0,0,2,0,0,0,0,23,0,0,2,0,0,2,0,1,0,0,0,6,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,1,5,7,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,2,0,25,0,0,1,0,0,8,2,10,0,0,0,5,0,0,0,0,2,17,32,1,0,2,0,2,0,0,0,0,6,16,0,0,1,0,0,0,0,0,0,1,22,0,0,0,0,0,0,0,0,0,4,0,0,0,5,0,0,0,0,1,0,0,0,1,0,4,0,1,0,0,0,0,0,0,0,1,0,0,0,3,1,0,0,0,1,1,0,1,0,0,0,2,2,1,0,0,0,0,4,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,10,1,3,0,4,0,0,0,13,9,0,0,0,0,1,0,18,0,1,11,8,0,2,0,0,0,43,1,0,0,15,1,2,0,0,8,0,1
Great_Britain,4,0,0,0,4,0,1,0,0,0,5,0,0,1,1,0,2,1,1,14,4,0,1,0,2,0,0,0,0,0,0,9,0,0,0,0,0,1,0,0,0,0,6,0,0,0,0,59,5,4,0,0,0,18,3,0,0,0,13,0,0,0,0,0,1,2,1,0,0,0,6,1,2,0,0,4,3,0,0,0,0,2,1,0,12,1,0,0,3,1,0,0,1,0,0,0,1,4,0,0,0,0,0,15,0,3,1,0,4,1,0,0,48,0,0,0,0,1,0,0,0,0,0,3,0,7,2,0,3,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,12,0,0,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,38,1,2,0,0,0,5,0,6,0,0,0,8,4,0,0,0,0,5,30,2,0,1,0,2,0,0,0,0,1,7,1,0,3,0,0,0,0,0,0,0,18,0,0,0,0,1,0,0,0,0,1,0,4,0,22,0,0,0,0,0,0,0,12,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,1,0,0,0,0,0,0,2,0,0,3,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7,3,0,0,0,0,1,5,0,0,0,0,0,6,7,0,0,0,0,1,4,12,0,0,13,10,0,4,0,0,0,60,0,2,1,0,4,0,0,0,5,1,0
India,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,6,2,2,0,0,0,0,16,0,0,0,0,0,3,18,0,1,0,0,0,0,0,0,0,0,2,0,1,0,0,23,0,1,0,0,0,3,0,14,0,0,10,5,0,0,4,0,49,3,0,0,0,0,0,0,0,0,0,24,6,0,5,0,0,0,0,28,16,0,0,0,0,14,0,1,0,0,0,0,48,3,0,0,0,0,0,12,0,1,62,0,0,0,0,0,4,0,0,0,2,32,0,0,0,0,0,0,0,50,0,0,41,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,2,13,0,0,4,1,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,1,0,12,1,3,0,0,0,1,0,10,0,0,1,3,0,0,0,0,0,15,57,0,0,0,0,0,0,0,0,0,0,2,0,0,8,1,1,1,0,0,0,0,37,0,0,0,0,1,1,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,6,0,0,0,0,13,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,3,0,0,1,0,0,0,0,3,0,0,6,0,0,0,0,0,0,1,0,0,0,0,0,1,2,0,0,0,0,0,2,0,0,0,0,0,0,4,0,0,1,0,0,0,33,0,0,0,0,54,1,0,0,4,39,6,0,0,0,0,0,11,0,0,0,1,1,0,0,0,1,20,1
Italy,3,0,1,0,0,0,0,2,1,0,3,0,0,0,0,0,44,3,4,11,2,0,0,0,17,0,0,0,0,0,0,29,0,0,0,0,1,0,0,0,0,0,11,2,0,0,0,25,1,0,0,0,0,3,0,0,0,0,5,0,0,0,0,0,5,5,0,0,0,0,2,20,0,0,0,12,7,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,4,0,0,2,0,0,12,3,0,1,2,0,0,0,0,28,0,0,0,8,0,2,0,2,0,0,0,0,61,0,0,0,1,0,3,0,6,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,1,0,1,0,12,0,0,19,0,0,13,0,1,0,0,3,2,0,0,0,0,8,55,37,1,0,0,0,26,0,0,0,0,32,23,0,0,1,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,2,0,9,0,3,0,0,0,2,0,0,0,1,0,0,4,0,3,0,0,0,0,0,0,0,3,0,0,0,12,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,1,0,0,1,0,1,0,2,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,11,49,0,0,0,0,0,0,7,0,2,9,6,0,1,0,0,0,26,0,0,0,8,0,2,0,0,7,0,4
