,American,Canada,Caribbeans,China,East_African,Eastern_European,France,Great_Britain,India,Italy,Japan,Korean,Mediterranean,Mexican,Middle_East,North_African,Portuguese_Spanish,Scandinavia,South_African,South_American,South_Asian,Southeast_Asian,West_African,Western_Europeean
ing0,wheat,wheat,onion,soy_sauce,onion,wheat,butter,wheat,cumin,garlic,soy_sauce,soy_sauce,garlic,cayenne,onion,onion,onion,wheat,onion,onion,garlic,garlic,onion,wheat
ing1,egg,butter,garlic,garlic,ginger,egg,egg,butter,onion,olive_oil,rice,garlic,olive_oil,onion,black_pepper,olive_oil,garlic,butter,turmeric,garlic,onion,soy_sauce,tomato,egg
ing2,butter,egg,vegetable_oil,scallion,garlic,butter,wheat,egg,turmeric,tomato,vegetable_oil,sesame_oil,onion,garlic,wheat,cumin,olive_oil,egg,vinegar,egg,vegetable_oil,fish,peanut_butter,butter
ing3,onion,onion,black_pepper,egg,wheat,onion,onion,milk,garlic,basil,vinegar,scallion,lemon_juice,tomato,vegetable_oil,garlic,tomato,cream,pepper,milk,cayenne,cayenne,cayenne,milk
ing4,milk,garlic,tomato,vegetable_oil,pepper,milk,cream,onion,cayenne,onion,garlic,sesame_seed,wheat,cumin,tomato,tomato,bell_pepper,milk,fenugreek,pepper,turmeric,vegetable_oil,garlic,onion
ing5,garlic,milk,olive_oil,ginger,cumin,cream,milk,potato,coriander,parmesan_cheese,egg,cayenne,tomato,corn,olive_oil,cayenne,egg,almond,cumin,vegetable_oil,ginger,onion,vegetable_oil,cinnamon
ing6,vanilla,cane_molasses,pepper,starch,cayenne,garlic,garlic,pepper,ginger,macaroni,ginger,black_pepper,parsley,cheddar_cheese,garlic,black_pepper,pepper,cinnamon,coriander,wheat,cumin,chicken,bell_pepper,pepper
ing7,vegetable_oil,black_pepper,cayenne,sesame_oil,cardamom,vegetable_oil,pepper,cane_molasses,vegetable_oil,black_pepper,wine,beef,mint,wheat,yogurt,wheat,potato,vanilla,butter,olive_oil,tomato,ginger,olive_oil,vanilla
ing8,pepper,vegetable_oil,bell_pepper,vinegar,vegetable_oil,black_pepper,black_pepper,cream,pepper,egg,wheat,vegetable_oil,black_pepper,vegetable_oil,walnut,pepper,wheat,cardamom,bay,tomato,cilantro,cilantro,cumin,cream
ing9,cream,pepper,chicken,chicken,turmeric,potato,vanilla,beef,tomato,wheat,onion,onion,bread,pepper,parsley,bell_pepper,parsley,yeast,milk,bell_pepper,cardamom,pepper,chicken_broth,cane_molasses
ing10,cane_molasses,vanilla,green_bell_pepper,pork,tomato,pepper,olive_oil,vegetable_oil,fenugreek,oregano,sesame_oil,vinegar,bell_pepper,bell_pepper,butter,vegetable_oil,black_pepper,cane_molasses,egg,cumin,black_pepper,rice,chicken,vinegar
ing11,vinegar,tomato,vinegar,wheat,potato,tomato,parsley,carrot,cilantro,butter,scallion,rice,yogurt,black_pepper,turmeric,coriander,vinegar,onion,beef,cayenne,coriander,coconut,roasted_peanut,vegetable_oil
ing12,tomato,vinegar,egg,pepper,olive_oil,yeast,white_wine,vanilla,chicken,parsley,soybean,ginger,vegetable_oil,oregano,mint,cinnamon,butter,potato,wheat,butter,chicken,scallion,rice,black_pepper
ing13,black_pepper,cream,cumin,rice,carrot,beef,bread,raisin,butter,cheese,sake,pepper,pepper,cream,egg,chickpea,pork_sausage,pepper,vegetable_oil,potato,yogurt,vinegar,coriander,almond
ing14,cocoa,olive_oil,cane_molasses,chicken_broth,cabbage,bell_pepper,thyme,lard,yogurt,pepper,seaweed,carrot,butter,cilantro,cardamom,chicken,lemon,orange,black_pepper,carrot,rice,coriander,black_pepper,potato
ing15,cinnamon,cinnamon,lime_juice,cayenne,black_pepper,cabbage,chicken,cinnamon,black_pepper,mozzarella_cheese,butter,wine,chicken,cheese,pepper,parsley,green_bell_pepper,black_pepper,vanilla,black_pepper,potato,cumin,vegetable,nutmeg
ing16,olive_oil,chicken,coconut,black_pepper,beef,vinegar,vegetable_oil,vinegar,cinnamon,bell_pepper,barley,egg,beef,beef,dill,lemon_juice,cayenne,raisin,raisin,parsley,cinnamon,black_pepper,sweet_potato,beef
ing17,chicken,cayenne,cinnamon,onion,lemon_juice,vanilla,swiss_cheese,black_pepper,bell_pepper,mushroom,sesame_seed,cabbage,milk,egg,cumin,ginger,milk,lard,potato,cilantro,bell_pepper,lime_juice,coconut,yeast
ing18,cayenne,bell_pepper,cilantro,soybean,coconut,parsley,mustard,nutmeg,olive_oil,cream,pepper,soybean,egg,green_bell_pepper,cilantro,carrot,chicken,rye_flour,cinnamon,chicken,beef,egg,chickpea,lemon
ing19,bell_pepper,potato,wheat,cabbage,cane_molasses,dill,cocoa,garlic,cardamom,chicken,carrot,cane_molasses,cumin,chicken,chicken,lemon,white_wine,nutmeg,apricot,vinegar,butter,turmeric,carrot,lard
