,American,Canada,Caribbeans,China,East_African,Eastern_European,France,Great_Britain,India,Italy,Japan,Korean,Mediterranean,Mexican,Middle_East,North_African,Portuguese_Spanish,Scandinavia,South_African,South_American,South_Asian,Southeast_Asian,West_African,Western_Europeean
ing0,41,39,51,70,63,53,54,60,62,61,55,78,61,74,46,55,55,74,56,42,82,63,84,71
ing1,41,38,50,45,36,52,46,59,57,55,42,65,55,71,30,50,47,70,43,36,78,39,61,64
ing2,40,35,31,43,36,48,43,48,54,49,38,56,46,64,23,48,46,59,37,34,69,37,61,52
ing3,29,34,31,39,27,45,32,38,50,44,34,53,42,62,23,46,37,27,37,31,69,36,61,30
ing4,27,27,30,38,27,27,29,30,49,37,32,40,31,33,23,43,37,26,37,25,65,35,46,28
ing5,23,26,26,37,27,26,25,22,48,32,32,37,31,30,23,38,30,22,37,23,60,35,38,22
ing6,20,20,25,36,27,23,23,18,41,30,24,37,31,25,23,31,28,18,37,22,60,35,38,17
ing7,18,20,24,32,27,22,22,18,39,29,21,37,23,24,20,30,21,17,37,21,47,32,30,16
ing8,18,18,21,29,18,21,20,15,37,28,18,31,23,24,20,30,20,15,37,19,43,31,30,15
ing9,18,18,20,29,18,19,18,14,33,26,18,31,21,24,20,30,20,12,31,19,39,30,30,15
ing10,16,17,19,25,18,19,17,13,32,26,17,28,19,24,20,26,20,11,31,18,39,28,30,14
ing11,13,17,18,21,18,18,16,13,28,25,17,28,17,21,16,26,18,10,31,18,34,28,23,14
ing12,13,15,18,20,18,15,15,12,24,23,16,28,17,20,16,26,17,9,25,18,34,25,23,14
ing13,13,15,18,18,18,15,15,12,23,20,16,25,17,20,16,21,16,7,25,15,30,22,23,14
ing14,11,12,18,18,18,14,13,12,20,19,14,18,17,20,16,21,15,7,25,14,30,20,23,13
ing15,11,10,15,18,18,13,12,12,18,19,12,15,14,20,13,20,15,7,18,14,30,19,15,13
ing16,10,10,15,18,18,12,11,10,16,17,12,15,14,20,13,20,15,6,18,13,30,19,15,11
ing17,9,10,15,15,9,12,10,9,16,13,11,15,12,16,13,20,14,6,18,13,26,17,15,10
ing18,8,10,15,12,9,9,10,8,15,12,11,12,12,15,13,20,13,5,18,13,26,17,15,10
ing19,8,9,14,12,9,9,10,7,14,12,11,12,12,15,13,18,12,5,18,12,17,16,15,10
